"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jul 07 07:37:05 UTC 2026","Tue Jul 07 07:37:05 UTC 2026","108","","PetStore API — CRUD Operations","","Delete a pet","","Delete a pet",""
"passed","Tue Jul 07 07:37:06 UTC 2026","Tue Jul 07 07:37:06 UTC 2026","50","","PetStore API — CRUD Operations","","Find pets by status returns non-empty list","","Find pets by status returns non-empty list",""
"passed","Tue Jul 07 07:37:05 UTC 2026","Tue Jul 07 07:37:05 UTC 2026","45","","PetStore API — CRUD Operations","","Retrieve pet with invalid ID returns 404","","Retrieve pet with invalid ID returns 404",""
"passed","Tue Jul 07 07:37:05 UTC 2026","Tue Jul 07 07:37:05 UTC 2026","136","","PetStore API — CRUD Operations","","Update a pet's name","","Update a pet's name",""
"passed","Tue Jul 07 07:37:05 UTC 2026","Tue Jul 07 07:37:06 UTC 2026","441","","PetStore API — CRUD Operations","","Find pets by status returns non-empty list","","Find pets by status returns non-empty list",""
"passed","Tue Jul 07 07:37:06 UTC 2026","Tue Jul 07 07:37:06 UTC 2026","49","","PetStore API — CRUD Operations","","Find pets by status returns non-empty list","","Find pets by status returns non-empty list",""
"passed","Tue Jul 07 07:37:06 UTC 2026","Tue Jul 07 07:37:33 UTC 2026","27387","","AI-Generated Lever Job Listing Filter Validation","","Job listing filters refine results correctly on QA Istanbul page","","Job listing filters refine results correctly on QA Istanbul page",""
"passed","Tue Jul 07 07:37:01 UTC 2026","Tue Jul 07 07:37:04 UTC 2026","3887","","PetStore API — CRUD Operations","","Create a new pet successfully","","Create a new pet successfully",""
"passed","Tue Jul 07 07:37:05 UTC 2026","Tue Jul 07 07:37:05 UTC 2026","160","","PetStore API — CRUD Operations","","Retrieve a pet by ID","","Retrieve a pet by ID",""
"failed","Tue Jul 07 07:37:33 UTC 2026","Tue Jul 07 07:37:53 UTC 2026","19707","","InsiderOne Careers - End to End Test","","Verify Insider homepage and Quality Assurance job application flow","","Verify Insider homepage and Quality Assurance job application flow",""
