"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jun 01 02:43:33 UTC 2026","Mon Jun 01 02:43:34 UTC 2026","533","","PetStore API — CRUD Operations","","Delete a pet","","Delete a pet",""
"passed","Mon Jun 01 02:43:29 UTC 2026","Mon Jun 01 02:43:32 UTC 2026","2948","","PetStore API — CRUD Operations","","Create a new pet successfully","","Create a new pet successfully",""
"passed","Mon Jun 01 02:43:34 UTC 2026","Mon Jun 01 02:43:35 UTC 2026","461","","PetStore API — CRUD Operations","","Find pets by status returns non-empty list","","Find pets by status returns non-empty list",""
"passed","Mon Jun 01 02:43:33 UTC 2026","Mon Jun 01 02:43:33 UTC 2026","568","","PetStore API — CRUD Operations","","Update a pet's name","","Update a pet's name",""
"passed","Mon Jun 01 02:43:35 UTC 2026","Mon Jun 01 02:43:35 UTC 2026","391","","PetStore API — CRUD Operations","","Find pets by status returns non-empty list","","Find pets by status returns non-empty list",""
"passed","Mon Jun 01 02:43:32 UTC 2026","Mon Jun 01 02:43:33 UTC 2026","580","","PetStore API — CRUD Operations","","Retrieve a pet by ID","","Retrieve a pet by ID",""
"passed","Mon Jun 01 02:43:34 UTC 2026","Mon Jun 01 02:43:34 UTC 2026","258","","PetStore API — CRUD Operations","","Retrieve pet with invalid ID returns 404","","Retrieve pet with invalid ID returns 404",""
"passed","Mon Jun 01 02:43:35 UTC 2026","Mon Jun 01 02:44:02 UTC 2026","26788","","AI-Generated Lever Job Listing Filter Validation","","Job listing filters refine results correctly on QA Istanbul page","","Job listing filters refine results correctly on QA Istanbul page",""
"failed","Mon Jun 01 02:44:02 UTC 2026","Mon Jun 01 02:44:21 UTC 2026","19266","","InsiderOne Careers - End to End Test","","Verify Insider homepage and Quality Assurance job application flow","","Verify Insider homepage and Quality Assurance job application flow",""
"passed","Mon Jun 01 02:43:35 UTC 2026","Mon Jun 01 02:43:35 UTC 2026","277","","PetStore API — CRUD Operations","","Find pets by status returns non-empty list","","Find pets by status returns non-empty list",""
