"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Jul 26 06:35:11 UTC 2026","Sun Jul 26 06:35:13 UTC 2026","1995","","PetStore API — CRUD Operations","","Create a new pet successfully","","Create a new pet successfully",""
"passed","Sun Jul 26 06:35:15 UTC 2026","Sun Jul 26 06:35:16 UTC 2026","529","","PetStore API — CRUD Operations","","Find pets by status returns non-empty list","","Find pets by status returns non-empty list",""
"passed","Sun Jul 26 06:35:14 UTC 2026","Sun Jul 26 06:35:15 UTC 2026","620","","PetStore API — CRUD Operations","","Delete a pet","","Delete a pet",""
"passed","Sun Jul 26 06:35:16 UTC 2026","Sun Jul 26 06:35:17 UTC 2026","518","","PetStore API — CRUD Operations","","Find pets by status returns non-empty list","","Find pets by status returns non-empty list",""
"passed","Sun Jul 26 06:35:13 UTC 2026","Sun Jul 26 06:35:14 UTC 2026","656","","PetStore API — CRUD Operations","","Retrieve a pet by ID","","Retrieve a pet by ID",""
"passed","Sun Jul 26 06:35:17 UTC 2026","Sun Jul 26 06:35:39 UTC 2026","22378","","AI-Generated Lever Job Listing Filter Validation","","Job listing filters refine results correctly on QA Istanbul page","","Job listing filters refine results correctly on QA Istanbul page",""
"broken","Sun Jul 26 06:35:39 UTC 2026","Sun Jul 26 06:36:25 UTC 2026","45706","","InsiderOne Careers - End to End Test","","Verify Insider homepage and Quality Assurance job application flow","","Verify Insider homepage and Quality Assurance job application flow",""
"passed","Sun Jul 26 06:35:15 UTC 2026","Sun Jul 26 06:35:15 UTC 2026","288","","PetStore API — CRUD Operations","","Retrieve pet with invalid ID returns 404","","Retrieve pet with invalid ID returns 404",""
"passed","Sun Jul 26 06:35:16 UTC 2026","Sun Jul 26 06:35:16 UTC 2026","370","","PetStore API — CRUD Operations","","Find pets by status returns non-empty list","","Find pets by status returns non-empty list",""
"passed","Sun Jul 26 06:35:14 UTC 2026","Sun Jul 26 06:35:14 UTC 2026","641","","PetStore API — CRUD Operations","","Update a pet's name","","Update a pet's name",""
