"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Jul 16 06:16:39 UTC 2026","Thu Jul 16 06:16:44 UTC 2026","4501","","PetStore API — CRUD Operations","","Create a new pet successfully","","Create a new pet successfully",""
"passed","Thu Jul 16 06:16:48 UTC 2026","Thu Jul 16 06:16:48 UTC 2026","385","","PetStore API — CRUD Operations","","Find pets by status returns non-empty list","","Find pets by status returns non-empty list",""
"passed","Thu Jul 16 06:16:46 UTC 2026","Thu Jul 16 06:16:47 UTC 2026","351","","PetStore API — CRUD Operations","","Retrieve pet with invalid ID returns 404","","Retrieve pet with invalid ID returns 404",""
"passed","Thu Jul 16 06:16:48 UTC 2026","Thu Jul 16 06:17:15 UTC 2026","26648","","AI-Generated Lever Job Listing Filter Validation","","Job listing filters refine results correctly on QA Istanbul page","","Job listing filters refine results correctly on QA Istanbul page",""
"passed","Thu Jul 16 06:16:47 UTC 2026","Thu Jul 16 06:16:47 UTC 2026","762","","PetStore API — CRUD Operations","","Find pets by status returns non-empty list","","Find pets by status returns non-empty list",""
"passed","Thu Jul 16 06:16:47 UTC 2026","Thu Jul 16 06:16:48 UTC 2026","354","","PetStore API — CRUD Operations","","Find pets by status returns non-empty list","","Find pets by status returns non-empty list",""
"passed","Thu Jul 16 06:16:46 UTC 2026","Thu Jul 16 06:16:46 UTC 2026","753","","PetStore API — CRUD Operations","","Delete a pet","","Delete a pet",""
"passed","Thu Jul 16 06:16:45 UTC 2026","Thu Jul 16 06:16:45 UTC 2026","789","","PetStore API — CRUD Operations","","Update a pet's name","","Update a pet's name",""
"broken","Thu Jul 16 06:17:15 UTC 2026","Thu Jul 16 06:18:04 UTC 2026","48989","","InsiderOne Careers - End to End Test","","Verify Insider homepage and Quality Assurance job application flow","","Verify Insider homepage and Quality Assurance job application flow",""
"passed","Thu Jul 16 06:16:44 UTC 2026","Thu Jul 16 06:16:45 UTC 2026","798","","PetStore API — CRUD Operations","","Retrieve a pet by ID","","Retrieve a pet by ID",""
