"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Aug 06 06:28:27 UTC 2026","Thu Aug 06 06:28:27 UTC 2026","162","","PetStore API — CRUD Operations","","Update a pet's name","","Update a pet's name",""
"passed","Thu Aug 06 06:28:27 UTC 2026","Thu Aug 06 06:28:27 UTC 2026","192","","PetStore API — CRUD Operations","","Retrieve a pet by ID","","Retrieve a pet by ID",""
"passed","Thu Aug 06 06:28:28 UTC 2026","Thu Aug 06 06:28:28 UTC 2026","201","","PetStore API — CRUD Operations","","Find pets by status returns non-empty list","","Find pets by status returns non-empty list",""
"passed","Thu Aug 06 06:28:28 UTC 2026","Thu Aug 06 06:28:28 UTC 2026","60","","PetStore API — CRUD Operations","","Retrieve pet with invalid ID returns 404","","Retrieve pet with invalid ID returns 404",""
"passed","Thu Aug 06 06:28:27 UTC 2026","Thu Aug 06 06:28:28 UTC 2026","129","","PetStore API — CRUD Operations","","Delete a pet","","Delete a pet",""
"passed","Thu Aug 06 06:28:28 UTC 2026","Thu Aug 06 06:28:28 UTC 2026","69","","PetStore API — CRUD Operations","","Find pets by status returns non-empty list","","Find pets by status returns non-empty list",""
"failed","Thu Aug 06 06:28:54 UTC 2026","Thu Aug 06 06:29:14 UTC 2026","19792","","InsiderOne Careers - End to End Test","","Verify Insider homepage and Quality Assurance job application flow","","Verify Insider homepage and Quality Assurance job application flow",""
"broken","Thu Aug 06 06:28:28 UTC 2026","Thu Aug 06 06:28:54 UTC 2026","25870","","AI-Generated Lever Job Listing Filter Validation","","Job listing filters refine results correctly on QA Istanbul page","","Job listing filters refine results correctly on QA Istanbul page",""
"passed","Thu Aug 06 06:28:28 UTC 2026","Thu Aug 06 06:28:28 UTC 2026","211","","PetStore API — CRUD Operations","","Find pets by status returns non-empty list","","Find pets by status returns non-empty list",""
"passed","Thu Aug 06 06:28:23 UTC 2026","Thu Aug 06 06:28:27 UTC 2026","3881","","PetStore API — CRUD Operations","","Create a new pet successfully","","Create a new pet successfully",""
