"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Jun 05 08:06:33 UTC 2026","Fri Jun 05 08:06:33 UTC 2026","112","","PetStore API — CRUD Operations","","Retrieve pet with invalid ID returns 404","","Retrieve pet with invalid ID returns 404",""
"passed","Fri Jun 05 08:06:32 UTC 2026","Fri Jun 05 08:06:32 UTC 2026","254","","PetStore API — CRUD Operations","","Update a pet's name","","Update a pet's name",""
"passed","Fri Jun 05 08:06:32 UTC 2026","Fri Jun 05 08:06:32 UTC 2026","274","","PetStore API — CRUD Operations","","Retrieve a pet by ID","","Retrieve a pet by ID",""
"failed","Fri Jun 05 08:07:00 UTC 2026","Fri Jun 05 08:07:18 UTC 2026","17699","","InsiderOne Careers - End to End Test","","Verify Insider homepage and Quality Assurance job application flow","","Verify Insider homepage and Quality Assurance job application flow",""
"passed","Fri Jun 05 08:06:32 UTC 2026","Fri Jun 05 08:06:33 UTC 2026","227","","PetStore API — CRUD Operations","","Delete a pet","","Delete a pet",""
"passed","Fri Jun 05 08:06:33 UTC 2026","Fri Jun 05 08:06:33 UTC 2026","233","","PetStore API — CRUD Operations","","Find pets by status returns non-empty list","","Find pets by status returns non-empty list",""
"passed","Fri Jun 05 08:06:30 UTC 2026","Fri Jun 05 08:06:32 UTC 2026","1848","","PetStore API — CRUD Operations","","Create a new pet successfully","","Create a new pet successfully",""
"passed","Fri Jun 05 08:06:33 UTC 2026","Fri Jun 05 08:06:33 UTC 2026","346","","PetStore API — CRUD Operations","","Find pets by status returns non-empty list","","Find pets by status returns non-empty list",""
"passed","Fri Jun 05 08:06:34 UTC 2026","Fri Jun 05 08:07:00 UTC 2026","26802","","AI-Generated Lever Job Listing Filter Validation","","Job listing filters refine results correctly on QA Istanbul page","","Job listing filters refine results correctly on QA Istanbul page",""
"passed","Fri Jun 05 08:06:33 UTC 2026","Fri Jun 05 08:06:34 UTC 2026","169","","PetStore API — CRUD Operations","","Find pets by status returns non-empty list","","Find pets by status returns non-empty list",""
