"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Aug 30 09:44:37 UTC 2026","Sun Aug 30 09:44:41 UTC 2026","3677","","PetStore API — CRUD Operations","","Create a new pet successfully","","Create a new pet successfully",""
"passed","Sun Aug 30 09:44:41 UTC 2026","Sun Aug 30 09:44:41 UTC 2026","161","","PetStore API — CRUD Operations","","Retrieve a pet by ID","","Retrieve a pet by ID",""
"passed","Sun Aug 30 09:44:42 UTC 2026","Sun Aug 30 09:44:42 UTC 2026","108","","PetStore API — CRUD Operations","","Find pets by status returns non-empty list","","Find pets by status returns non-empty list",""
"passed","Sun Aug 30 09:44:41 UTC 2026","Sun Aug 30 09:44:42 UTC 2026","135","","PetStore API — CRUD Operations","","Update a pet's name","","Update a pet's name",""
"failed","Sun Aug 30 09:45:11 UTC 2026","Sun Aug 30 09:45:31 UTC 2026","20335","","InsiderOne Careers - End to End Test","","Verify Insider homepage and Quality Assurance job application flow","","Verify Insider homepage and Quality Assurance job application flow",""
"passed","Sun Aug 30 09:44:42 UTC 2026","Sun Aug 30 09:44:42 UTC 2026","125","","PetStore API — CRUD Operations","","Delete a pet","","Delete a pet",""
"passed","Sun Aug 30 09:44:42 UTC 2026","Sun Aug 30 09:44:42 UTC 2026","246","","PetStore API — CRUD Operations","","Find pets by status returns non-empty list","","Find pets by status returns non-empty list",""
"broken","Sun Aug 30 09:44:42 UTC 2026","Sun Aug 30 09:45:11 UTC 2026","28306","","AI-Generated Lever Job Listing Filter Validation","","Job listing filters refine results correctly on QA Istanbul page","","Job listing filters refine results correctly on QA Istanbul page",""
"passed","Sun Aug 30 09:44:42 UTC 2026","Sun Aug 30 09:44:42 UTC 2026","235","","PetStore API — CRUD Operations","","Find pets by status returns non-empty list","","Find pets by status returns non-empty list",""
"passed","Sun Aug 30 09:44:42 UTC 2026","Sun Aug 30 09:44:42 UTC 2026","46","","PetStore API — CRUD Operations","","Retrieve pet with invalid ID returns 404","","Retrieve pet with invalid ID returns 404",""
