"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Jul 12 06:32:33 UTC 2026","Sun Jul 12 06:32:33 UTC 2026","100","","PetStore API — CRUD Operations","","Delete a pet","","Delete a pet",""
"passed","Sun Jul 12 06:32:33 UTC 2026","Sun Jul 12 06:33:00 UTC 2026","26363","","AI-Generated Lever Job Listing Filter Validation","","Job listing filters refine results correctly on QA Istanbul page","","Job listing filters refine results correctly on QA Istanbul page",""
"broken","Sun Jul 12 06:33:00 UTC 2026","Sun Jul 12 06:33:48 UTC 2026","48517","","InsiderOne Careers - End to End Test","","Verify Insider homepage and Quality Assurance job application flow","","Verify Insider homepage and Quality Assurance job application flow",""
"passed","Sun Jul 12 06:32:29 UTC 2026","Sun Jul 12 06:32:32 UTC 2026","2872","","PetStore API — CRUD Operations","","Create a new pet successfully","","Create a new pet successfully",""
"passed","Sun Jul 12 06:32:33 UTC 2026","Sun Jul 12 06:32:33 UTC 2026","42","","PetStore API — CRUD Operations","","Retrieve pet with invalid ID returns 404","","Retrieve pet with invalid ID returns 404",""
"passed","Sun Jul 12 06:32:33 UTC 2026","Sun Jul 12 06:32:33 UTC 2026","81","","PetStore API — CRUD Operations","","Find pets by status returns non-empty list","","Find pets by status returns non-empty list",""
"passed","Sun Jul 12 06:32:32 UTC 2026","Sun Jul 12 06:32:33 UTC 2026","158","","PetStore API — CRUD Operations","","Retrieve a pet by ID","","Retrieve a pet by ID",""
"passed","Sun Jul 12 06:32:33 UTC 2026","Sun Jul 12 06:32:33 UTC 2026","45","","PetStore API — CRUD Operations","","Find pets by status returns non-empty list","","Find pets by status returns non-empty list",""
"passed","Sun Jul 12 06:32:33 UTC 2026","Sun Jul 12 06:32:33 UTC 2026","299","","PetStore API — CRUD Operations","","Find pets by status returns non-empty list","","Find pets by status returns non-empty list",""
"passed","Sun Jul 12 06:32:33 UTC 2026","Sun Jul 12 06:32:33 UTC 2026","126","","PetStore API — CRUD Operations","","Update a pet's name","","Update a pet's name",""
