"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Jul 11 06:13:07 UTC 2026","Sat Jul 11 06:13:07 UTC 2026","118","","PetStore API — CRUD Operations","","Update a pet's name","","Update a pet's name",""
"broken","Sat Jul 11 06:13:33 UTC 2026","Sat Jul 11 06:14:23 UTC 2026","49217","","InsiderOne Careers - End to End Test","","Verify Insider homepage and Quality Assurance job application flow","","Verify Insider homepage and Quality Assurance job application flow",""
"passed","Sat Jul 11 06:13:08 UTC 2026","Sat Jul 11 06:13:08 UTC 2026","51","","PetStore API — CRUD Operations","","Find pets by status returns non-empty list","","Find pets by status returns non-empty list",""
"passed","Sat Jul 11 06:13:02 UTC 2026","Sat Jul 11 06:13:07 UTC 2026","5079","","PetStore API — CRUD Operations","","Create a new pet successfully","","Create a new pet successfully",""
"passed","Sat Jul 11 06:13:07 UTC 2026","Sat Jul 11 06:13:07 UTC 2026","100","","PetStore API — CRUD Operations","","Delete a pet","","Delete a pet",""
"passed","Sat Jul 11 06:13:08 UTC 2026","Sat Jul 11 06:13:33 UTC 2026","25732","","AI-Generated Lever Job Listing Filter Validation","","Job listing filters refine results correctly on QA Istanbul page","","Job listing filters refine results correctly on QA Istanbul page",""
"passed","Sat Jul 11 06:13:07 UTC 2026","Sat Jul 11 06:13:07 UTC 2026","253","","PetStore API — CRUD Operations","","Find pets by status returns non-empty list","","Find pets by status returns non-empty list",""
"passed","Sat Jul 11 06:13:07 UTC 2026","Sat Jul 11 06:13:07 UTC 2026","150","","PetStore API — CRUD Operations","","Retrieve a pet by ID","","Retrieve a pet by ID",""
"passed","Sat Jul 11 06:13:07 UTC 2026","Sat Jul 11 06:13:07 UTC 2026","47","","PetStore API — CRUD Operations","","Retrieve pet with invalid ID returns 404","","Retrieve pet with invalid ID returns 404",""
"passed","Sat Jul 11 06:13:07 UTC 2026","Sat Jul 11 06:13:08 UTC 2026","46","","PetStore API — CRUD Operations","","Find pets by status returns non-empty list","","Find pets by status returns non-empty list",""
