"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jun 15 10:24:03 UTC 2026","Mon Jun 15 10:24:03 UTC 2026","365","","PetStore API — CRUD Operations","","Retrieve pet with invalid ID returns 404","","Retrieve pet with invalid ID returns 404",""
"passed","Mon Jun 15 10:24:03 UTC 2026","Mon Jun 15 10:24:04 UTC 2026","799","","PetStore API — CRUD Operations","","Find pets by status returns non-empty list","","Find pets by status returns non-empty list",""
"passed","Mon Jun 15 10:24:00 UTC 2026","Mon Jun 15 10:24:01 UTC 2026","785","","PetStore API — CRUD Operations","","Retrieve a pet by ID","","Retrieve a pet by ID",""
"passed","Mon Jun 15 10:24:04 UTC 2026","Mon Jun 15 10:24:04 UTC 2026","354","","PetStore API — CRUD Operations","","Find pets by status returns non-empty list","","Find pets by status returns non-empty list",""
"passed","Mon Jun 15 10:24:04 UTC 2026","Mon Jun 15 10:24:04 UTC 2026","369","","PetStore API — CRUD Operations","","Find pets by status returns non-empty list","","Find pets by status returns non-empty list",""
"passed","Mon Jun 15 10:24:02 UTC 2026","Mon Jun 15 10:24:03 UTC 2026","753","","PetStore API — CRUD Operations","","Delete a pet","","Delete a pet",""
"passed","Mon Jun 15 10:24:01 UTC 2026","Mon Jun 15 10:24:02 UTC 2026","742","","PetStore API — CRUD Operations","","Update a pet's name","","Update a pet's name",""
"passed","Mon Jun 15 10:23:58 UTC 2026","Mon Jun 15 10:24:00 UTC 2026","1892","","PetStore API — CRUD Operations","","Create a new pet successfully","","Create a new pet successfully",""
"passed","Mon Jun 15 10:24:04 UTC 2026","Mon Jun 15 10:24:28 UTC 2026","23378","","AI-Generated Lever Job Listing Filter Validation","","Job listing filters refine results correctly on QA Istanbul page","","Job listing filters refine results correctly on QA Istanbul page",""
"failed","Mon Jun 15 10:24:28 UTC 2026","Mon Jun 15 10:24:46 UTC 2026","17708","","InsiderOne Careers - End to End Test","","Verify Insider homepage and Quality Assurance job application flow","","Verify Insider homepage and Quality Assurance job application flow",""
