"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jul 14 06:10:36 UTC 2026","Tue Jul 14 06:10:36 UTC 2026","128","","PetStore API — CRUD Operations","","Find pets by status returns non-empty list","","Find pets by status returns non-empty list",""
"passed","Tue Jul 14 06:10:35 UTC 2026","Tue Jul 14 06:10:35 UTC 2026","63","","PetStore API — CRUD Operations","","Retrieve pet with invalid ID returns 404","","Retrieve pet with invalid ID returns 404",""
"passed","Tue Jul 14 06:10:36 UTC 2026","Tue Jul 14 06:10:36 UTC 2026","73","","PetStore API — CRUD Operations","","Find pets by status returns non-empty list","","Find pets by status returns non-empty list",""
"passed","Tue Jul 14 06:10:35 UTC 2026","Tue Jul 14 06:10:36 UTC 2026","197","","PetStore API — CRUD Operations","","Find pets by status returns non-empty list","","Find pets by status returns non-empty list",""
"passed","Tue Jul 14 06:10:36 UTC 2026","Tue Jul 14 06:11:01 UTC 2026","25631","","AI-Generated Lever Job Listing Filter Validation","","Job listing filters refine results correctly on QA Istanbul page","","Job listing filters refine results correctly on QA Istanbul page",""
"passed","Tue Jul 14 06:10:35 UTC 2026","Tue Jul 14 06:10:35 UTC 2026","139","","PetStore API — CRUD Operations","","Delete a pet","","Delete a pet",""
"broken","Tue Jul 14 06:11:01 UTC 2026","Tue Jul 14 06:11:50 UTC 2026","48211","","InsiderOne Careers - End to End Test","","Verify Insider homepage and Quality Assurance job application flow","","Verify Insider homepage and Quality Assurance job application flow",""
"passed","Tue Jul 14 06:10:32 UTC 2026","Tue Jul 14 06:10:35 UTC 2026","2975","","PetStore API — CRUD Operations","","Create a new pet successfully","","Create a new pet successfully",""
"passed","Tue Jul 14 06:10:35 UTC 2026","Tue Jul 14 06:10:35 UTC 2026","195","","PetStore API — CRUD Operations","","Retrieve a pet by ID","","Retrieve a pet by ID",""
"passed","Tue Jul 14 06:10:35 UTC 2026","Tue Jul 14 06:10:35 UTC 2026","157","","PetStore API — CRUD Operations","","Update a pet's name","","Update a pet's name",""
