"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Aug 25 04:37:02 UTC 2026","Tue Aug 25 04:37:02 UTC 2026","59","","PetStore API — CRUD Operations","","Find pets by status returns non-empty list","","Find pets by status returns non-empty list",""
"passed","Tue Aug 25 04:36:58 UTC 2026","Tue Aug 25 04:37:01 UTC 2026","3252","","PetStore API — CRUD Operations","","Create a new pet successfully","","Create a new pet successfully",""
"passed","Tue Aug 25 04:37:02 UTC 2026","Tue Aug 25 04:37:02 UTC 2026","191","","PetStore API — CRUD Operations","","Find pets by status returns non-empty list","","Find pets by status returns non-empty list",""
"passed","Tue Aug 25 04:37:02 UTC 2026","Tue Aug 25 04:37:02 UTC 2026","60","","PetStore API — CRUD Operations","","Retrieve pet with invalid ID returns 404","","Retrieve pet with invalid ID returns 404",""
"passed","Tue Aug 25 04:37:01 UTC 2026","Tue Aug 25 04:37:01 UTC 2026","153","","PetStore API — CRUD Operations","","Update a pet's name","","Update a pet's name",""
"failed","Tue Aug 25 04:37:29 UTC 2026","Tue Aug 25 04:37:49 UTC 2026","20012","","InsiderOne Careers - End to End Test","","Verify Insider homepage and Quality Assurance job application flow","","Verify Insider homepage and Quality Assurance job application flow",""
"broken","Tue Aug 25 04:37:02 UTC 2026","Tue Aug 25 04:37:29 UTC 2026","27354","","AI-Generated Lever Job Listing Filter Validation","","Job listing filters refine results correctly on QA Istanbul page","","Job listing filters refine results correctly on QA Istanbul page",""
"passed","Tue Aug 25 04:37:01 UTC 2026","Tue Aug 25 04:37:01 UTC 2026","189","","PetStore API — CRUD Operations","","Retrieve a pet by ID","","Retrieve a pet by ID",""
"passed","Tue Aug 25 04:37:02 UTC 2026","Tue Aug 25 04:37:02 UTC 2026","101","","PetStore API — CRUD Operations","","Find pets by status returns non-empty list","","Find pets by status returns non-empty list",""
"passed","Tue Aug 25 04:37:01 UTC 2026","Tue Aug 25 04:37:02 UTC 2026","130","","PetStore API — CRUD Operations","","Delete a pet","","Delete a pet",""
