"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jun 01 02:32:39 UTC 2026","Mon Jun 01 02:32:39 UTC 2026","590","","PetStore API — CRUD Operations","","Retrieve a pet by ID","","Retrieve a pet by ID",""
"passed","Mon Jun 01 02:32:41 UTC 2026","Mon Jun 01 02:32:42 UTC 2026","275","","PetStore API — CRUD Operations","","Find pets by status returns non-empty list","","Find pets by status returns non-empty list",""
"failed","Mon Jun 01 02:33:09 UTC 2026","Mon Jun 01 02:33:30 UTC 2026","21204","","InsiderOne Careers - End to End Test","","Verify Insider homepage and Quality Assurance job application flow","","Verify Insider homepage and Quality Assurance job application flow",""
"passed","Mon Jun 01 02:32:42 UTC 2026","Mon Jun 01 02:32:42 UTC 2026","393","","PetStore API — CRUD Operations","","Find pets by status returns non-empty list","","Find pets by status returns non-empty list",""
"passed","Mon Jun 01 02:32:42 UTC 2026","Mon Jun 01 02:33:09 UTC 2026","26911","","AI-Generated Lever Job Listing Filter Validation","","Job listing filters refine results correctly on QA Istanbul page","","Job listing filters refine results correctly on QA Istanbul page",""
"passed","Mon Jun 01 02:32:41 UTC 2026","Mon Jun 01 02:32:41 UTC 2026","254","","PetStore API — CRUD Operations","","Retrieve pet with invalid ID returns 404","","Retrieve pet with invalid ID returns 404",""
"passed","Mon Jun 01 02:32:39 UTC 2026","Mon Jun 01 02:32:40 UTC 2026","549","","PetStore API — CRUD Operations","","Update a pet's name","","Update a pet's name",""
"passed","Mon Jun 01 02:32:41 UTC 2026","Mon Jun 01 02:32:41 UTC 2026","428","","PetStore API — CRUD Operations","","Find pets by status returns non-empty list","","Find pets by status returns non-empty list",""
"passed","Mon Jun 01 02:32:34 UTC 2026","Mon Jun 01 02:32:39 UTC 2026","4421","","PetStore API — CRUD Operations","","Create a new pet successfully","","Create a new pet successfully",""
"passed","Mon Jun 01 02:32:40 UTC 2026","Mon Jun 01 02:32:41 UTC 2026","522","","PetStore API — CRUD Operations","","Delete a pet","","Delete a pet",""
