"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Aug 01 06:28:21 UTC 2026","Sat Aug 01 06:28:22 UTC 2026","811","","PetStore API — CRUD Operations","","Retrieve a pet by ID","","Retrieve a pet by ID",""
"passed","Sat Aug 01 06:28:24 UTC 2026","Sat Aug 01 06:28:25 UTC 2026","665","","PetStore API — CRUD Operations","","Find pets by status returns non-empty list","","Find pets by status returns non-empty list",""
"passed","Sat Aug 01 06:28:25 UTC 2026","Sat Aug 01 06:28:25 UTC 2026","392","","PetStore API — CRUD Operations","","Find pets by status returns non-empty list","","Find pets by status returns non-empty list",""
"passed","Sat Aug 01 06:28:26 UTC 2026","Sat Aug 01 06:28:56 UTC 2026","29924","","AI-Generated Lever Job Listing Filter Validation","","Job listing filters refine results correctly on QA Istanbul page","","Job listing filters refine results correctly on QA Istanbul page",""
"passed","Sat Aug 01 06:28:18 UTC 2026","Sat Aug 01 06:28:21 UTC 2026","3701","","PetStore API — CRUD Operations","","Create a new pet successfully","","Create a new pet successfully",""
"passed","Sat Aug 01 06:28:22 UTC 2026","Sat Aug 01 06:28:23 UTC 2026","772","","PetStore API — CRUD Operations","","Update a pet's name","","Update a pet's name",""
"broken","Sat Aug 01 06:28:56 UTC 2026","Sat Aug 01 06:29:46 UTC 2026","49896","","InsiderOne Careers - End to End Test","","Verify Insider homepage and Quality Assurance job application flow","","Verify Insider homepage and Quality Assurance job application flow",""
"passed","Sat Aug 01 06:28:24 UTC 2026","Sat Aug 01 06:28:24 UTC 2026","356","","PetStore API — CRUD Operations","","Retrieve pet with invalid ID returns 404","","Retrieve pet with invalid ID returns 404",""
"passed","Sat Aug 01 06:28:23 UTC 2026","Sat Aug 01 06:28:24 UTC 2026","759","","PetStore API — CRUD Operations","","Delete a pet","","Delete a pet",""
"passed","Sat Aug 01 06:28:25 UTC 2026","Sat Aug 01 06:28:26 UTC 2026","481","","PetStore API — CRUD Operations","","Find pets by status returns non-empty list","","Find pets by status returns non-empty list",""
