"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Sep 08 08:35:57 UTC 2026","Tue Sep 08 08:35:57 UTC 2026","144","","PetStore API — CRUD Operations","","Find pets by status returns non-empty list","","Find pets by status returns non-empty list",""
"passed","Tue Sep 08 08:35:56 UTC 2026","Tue Sep 08 08:35:56 UTC 2026","320","","PetStore API — CRUD Operations","","Update a pet's name","","Update a pet's name",""
"passed","Tue Sep 08 08:35:56 UTC 2026","Tue Sep 08 08:35:57 UTC 2026","281","","PetStore API — CRUD Operations","","Delete a pet","","Delete a pet",""
"failed","Tue Sep 08 08:36:25 UTC 2026","Tue Sep 08 08:36:45 UTC 2026","20277","","InsiderOne Careers - End to End Test","","Verify Insider homepage and Quality Assurance job application flow","","Verify Insider homepage and Quality Assurance job application flow",""
"passed","Tue Sep 08 08:35:57 UTC 2026","Tue Sep 08 08:35:57 UTC 2026","292","","PetStore API — CRUD Operations","","Find pets by status returns non-empty list","","Find pets by status returns non-empty list",""
"broken","Tue Sep 08 08:35:57 UTC 2026","Tue Sep 08 08:36:25 UTC 2026","27238","","AI-Generated Lever Job Listing Filter Validation","","Job listing filters refine results correctly on QA Istanbul page","","Job listing filters refine results correctly on QA Istanbul page",""
"passed","Tue Sep 08 08:35:57 UTC 2026","Tue Sep 08 08:35:57 UTC 2026","164","","PetStore API — CRUD Operations","","Find pets by status returns non-empty list","","Find pets by status returns non-empty list",""
"passed","Tue Sep 08 08:35:57 UTC 2026","Tue Sep 08 08:35:57 UTC 2026","129","","PetStore API — CRUD Operations","","Retrieve pet with invalid ID returns 404","","Retrieve pet with invalid ID returns 404",""
"passed","Tue Sep 08 08:35:52 UTC 2026","Tue Sep 08 08:35:56 UTC 2026","3234","","PetStore API — CRUD Operations","","Create a new pet successfully","","Create a new pet successfully",""
"passed","Tue Sep 08 08:35:56 UTC 2026","Tue Sep 08 08:35:56 UTC 2026","302","","PetStore API — CRUD Operations","","Retrieve a pet by ID","","Retrieve a pet by ID",""
