"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jun 01 07:16:09 UTC 2026","Mon Jun 01 07:16:12 UTC 2026","3115","","PetStore API — CRUD Operations","","Create a new pet successfully","","Create a new pet successfully",""
"passed","Mon Jun 01 07:16:13 UTC 2026","Mon Jun 01 07:16:14 UTC 2026","129","","PetStore API — CRUD Operations","","Find pets by status returns non-empty list","","Find pets by status returns non-empty list",""
"passed","Mon Jun 01 07:16:13 UTC 2026","Mon Jun 01 07:16:13 UTC 2026","59","","PetStore API — CRUD Operations","","Retrieve pet with invalid ID returns 404","","Retrieve pet with invalid ID returns 404",""
"failed","Mon Jun 01 07:16:40 UTC 2026","Mon Jun 01 07:16:59 UTC 2026","18809","","InsiderOne Careers - End to End Test","","Verify Insider homepage and Quality Assurance job application flow","","Verify Insider homepage and Quality Assurance job application flow",""
"passed","Mon Jun 01 07:16:13 UTC 2026","Mon Jun 01 07:16:13 UTC 2026","154","","PetStore API — CRUD Operations","","Update a pet's name","","Update a pet's name",""
"passed","Mon Jun 01 07:16:12 UTC 2026","Mon Jun 01 07:16:13 UTC 2026","183","","PetStore API — CRUD Operations","","Retrieve a pet by ID","","Retrieve a pet by ID",""
"passed","Mon Jun 01 07:16:13 UTC 2026","Mon Jun 01 07:16:13 UTC 2026","91","","PetStore API — CRUD Operations","","Find pets by status returns non-empty list","","Find pets by status returns non-empty list",""
"passed","Mon Jun 01 07:16:13 UTC 2026","Mon Jun 01 07:16:13 UTC 2026","132","","PetStore API — CRUD Operations","","Delete a pet","","Delete a pet",""
"passed","Mon Jun 01 07:16:14 UTC 2026","Mon Jun 01 07:16:40 UTC 2026","26165","","AI-Generated Lever Job Listing Filter Validation","","Job listing filters refine results correctly on QA Istanbul page","","Job listing filters refine results correctly on QA Istanbul page",""
"passed","Mon Jun 01 07:16:13 UTC 2026","Mon Jun 01 07:16:13 UTC 2026","302","","PetStore API — CRUD Operations","","Find pets by status returns non-empty list","","Find pets by status returns non-empty list",""
