"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Jul 04 06:46:52 UTC 2026","Sat Jul 04 06:46:52 UTC 2026","132","","PetStore API — CRUD Operations","","Delete a pet","","Delete a pet",""
"passed","Sat Jul 04 06:46:52 UTC 2026","Sat Jul 04 06:46:52 UTC 2026","158","","PetStore API — CRUD Operations","","Update a pet's name","","Update a pet's name",""
"failed","Sat Jul 04 06:47:22 UTC 2026","Sat Jul 04 06:47:41 UTC 2026","19217","","InsiderOne Careers - End to End Test","","Verify Insider homepage and Quality Assurance job application flow","","Verify Insider homepage and Quality Assurance job application flow",""
"passed","Sat Jul 04 06:46:52 UTC 2026","Sat Jul 04 06:46:52 UTC 2026","182","","PetStore API — CRUD Operations","","Retrieve a pet by ID","","Retrieve a pet by ID",""
"passed","Sat Jul 04 06:46:52 UTC 2026","Sat Jul 04 06:46:52 UTC 2026","60","","PetStore API — CRUD Operations","","Retrieve pet with invalid ID returns 404","","Retrieve pet with invalid ID returns 404",""
"passed","Sat Jul 04 06:46:53 UTC 2026","Sat Jul 04 06:46:53 UTC 2026","59","","PetStore API — CRUD Operations","","Find pets by status returns non-empty list","","Find pets by status returns non-empty list",""
"passed","Sat Jul 04 06:46:52 UTC 2026","Sat Jul 04 06:46:53 UTC 2026","405","","PetStore API — CRUD Operations","","Find pets by status returns non-empty list","","Find pets by status returns non-empty list",""
"passed","Sat Jul 04 06:46:49 UTC 2026","Sat Jul 04 06:46:51 UTC 2026","2699","","PetStore API — CRUD Operations","","Create a new pet successfully","","Create a new pet successfully",""
"passed","Sat Jul 04 06:46:53 UTC 2026","Sat Jul 04 06:46:53 UTC 2026","70","","PetStore API — CRUD Operations","","Find pets by status returns non-empty list","","Find pets by status returns non-empty list",""
"passed","Sat Jul 04 06:46:53 UTC 2026","Sat Jul 04 06:47:22 UTC 2026","29146","","AI-Generated Lever Job Listing Filter Validation","","Job listing filters refine results correctly on QA Istanbul page","","Job listing filters refine results correctly on QA Istanbul page",""
