"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Jun 07 07:54:47 UTC 2026","Sun Jun 07 07:55:14 UTC 2026","27496","","AI-Generated Lever Job Listing Filter Validation","","Job listing filters refine results correctly on QA Istanbul page","","Job listing filters refine results correctly on QA Istanbul page",""
"failed","Sun Jun 07 07:55:14 UTC 2026","Sun Jun 07 07:55:33 UTC 2026","19002","","InsiderOne Careers - End to End Test","","Verify Insider homepage and Quality Assurance job application flow","","Verify Insider homepage and Quality Assurance job application flow",""
"passed","Sun Jun 07 07:54:46 UTC 2026","Sun Jun 07 07:54:46 UTC 2026","564","","PetStore API — CRUD Operations","","Find pets by status returns non-empty list","","Find pets by status returns non-empty list",""
"passed","Sun Jun 07 07:54:44 UTC 2026","Sun Jun 07 07:54:45 UTC 2026","365","","PetStore API — CRUD Operations","","Retrieve pet with invalid ID returns 404","","Retrieve pet with invalid ID returns 404",""
"passed","Sun Jun 07 07:54:44 UTC 2026","Sun Jun 07 07:54:44 UTC 2026","790","","PetStore API — CRUD Operations","","Delete a pet","","Delete a pet",""
"passed","Sun Jun 07 07:54:45 UTC 2026","Sun Jun 07 07:54:46 UTC 2026","484","","PetStore API — CRUD Operations","","Find pets by status returns non-empty list","","Find pets by status returns non-empty list",""
"passed","Sun Jun 07 07:54:43 UTC 2026","Sun Jun 07 07:54:44 UTC 2026","779","","PetStore API — CRUD Operations","","Update a pet's name","","Update a pet's name",""
"passed","Sun Jun 07 07:54:42 UTC 2026","Sun Jun 07 07:54:43 UTC 2026","794","","PetStore API — CRUD Operations","","Retrieve a pet by ID","","Retrieve a pet by ID",""
"passed","Sun Jun 07 07:54:45 UTC 2026","Sun Jun 07 07:54:45 UTC 2026","734","","PetStore API — CRUD Operations","","Find pets by status returns non-empty list","","Find pets by status returns non-empty list",""
"passed","Sun Jun 07 07:54:37 UTC 2026","Sun Jun 07 07:54:42 UTC 2026","4300","","PetStore API — CRUD Operations","","Create a new pet successfully","","Create a new pet successfully",""
